Sample_ID,serotype,Country,Continent,Travel_history,Year,Belgium,Source,Gender,gyrA_mutations,macrolide_resistance_genes,MIC_AZM,MIC_CIP
S19BD00641,Sonnei,Belgium,Europe,Brazil,2019,Yes,NRC BEL,Female,NA,NA,8,0.02
S19BD05204,Sonnei,Belgium,Europe,Guinea,2019,Yes,NRC BEL,Male,NA,mphA,8,0.02
S17BD07293,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,Female,NA,NA,8,0.25
S18BD04382,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Male,gyrA S83L,mphA/ermB,64,0.25
S15BD07164,Sonnei,Belgium,Europe,NA,2015,Yes,NRC BEL,Female,NA,NA,0,0
S19BD01665,Sonnei,Belgium,Europe,NA,2019,Yes,NRC BEL,Male,NA,NA,8,0.02
S18BD07286,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Male,gyrA S83L,mphA/ermB,64,0.25
S18BD06208,Sonnei,Belgium,Europe,Morocco,2018,Yes,NRC BEL,Female,NA,NA,8,0.02
S18BD04295,Sonnei,Belgium,Europe,Egypt,2018,Yes,NRC BEL,Female,NA,NA,8,0.25
S17BD01603,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,Female,NA,NA,8,0.02
S17BD03508,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,Female,NA,NA,8,0.13
S18BD05550,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Female,NA,NA,8,0.02
S16BD04164,Sonnei,Belgium,Europe,NA,2016,Yes,NRC BEL,Female,gyrA D87Y,NA,0,0
S15BD08049,Sonnei,Belgium,Europe,Thailand,2015,Yes,NRC BEL,Female,gyrA D87Y,NA,0,0
S17BD00598,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,Male,NA,NA,8,1
S18BD04853,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Male,NA,mphA/ermB,64,0.25
S17BD00112,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,Male,NA,NA,0,0
S16BD00902,Sonnei,Belgium,Europe,NA,2016,Yes,NRC BEL,Male,NA,NA,0,0
S19BD06139,Sonnei,Belgium,Europe,Guinea,2019,Yes,NRC BEL,Male,NA,NA,2,0.02
S18BD00357,Sonnei,Belgium,Europe,NA,2018,Yes,NRC BEL,Male,NA,NA,8,0.02
ERR025692,Sonnei,Korea,Asia,NA,1985,No,Holt et al. 2012,NA,gyrA D87G,NA,NA,NA
ERR025682,Sonnei,Korea,Asia,NA,1983,No,Holt et al. 2012,NA,gyrA D87G,NA,NA,NA
ERR025714,Sonnei,Vietnam,Asia,NA,2003,No,Holt et al. 2012,NA,gyrA D87G,NA,NA,NA
ERR025713,Sonnei,Vietnam,Asia,NA,2002,No,Holt et al. 2012,NA,gyrA D87G,NA,NA,NA
ERR025709,Sonnei,Central Asia,Asia,NA,2003,No,Holt et al. 2012,NA,gyrA D87Y,NA,NA,NA
ERR025711,Sonnei,Central Asia,Asia,NA,2003,No,Holt et al. 2012,NA,gyrA D87Y,NA,NA,NA
SRR3473848,Sonnei,Australia,Australia,Laos,2016,No,The et al. 2016,NA,gyrA D87Y,NA,NA,NA
ERR708272,Sonnei,Ireland,Europe,NA,2005,No,The et al. 2016,NA,gyrA D87Y,NA,NA,NA
ERR592189,Sonnei,Thailand,Asia,NA,2005,No,The et al. 2016,NA,gyrA D87Y,NA,NA,NA
SRR3530640,Sonnei,UK,Europe,NA,2016,No,Dallman et al. 2016,Male,gyrA S83L,mphA/ermB,NA,NA
SRR3530452,Sonnei,UK,Europe,NA,2016,No,Dallman et al. 2016,Male,gyrA S83L,NA,NA,NA
ERR024621,Sonnei,Korea,Asia,NA,2003,No,Holt et al. 2012,NA,gyrA S83L,NA,NA,NA
ERR025690,Sonnei,Korea,Asia,NA,1981,No,Holt et al. 2012,NA,gyrA S83L,NA,NA,NA
ERR025691,Sonnei,Korea,Asia,NA,1982,No,Holt et al. 2012,NA,gyrA S83L,NA,NA,NA
ERR028677,Sonnei,Egypt,Africa,NA,2006,No,Holt et al. 2012,NA,gyrA S83L,NA,NA,NA
ERR024627,Sonnei,Korea,Asia,NA,1998,No,Holt et al. 2012,NA,gyrA S83L,NA,NA,NA
ERR024617,Sonnei,Korea,Asia,NA,2000,No,Holt et al. 2012,NA,gyrA S83L,NA,NA,NA
ERR024616,Sonnei,Korea,Asia,NA,2003,No,Holt et al. 2012,NA,gyrA S83L,mphA,NA,NA
ERR024618,Sonnei,Korea,Asia,NA,1999,No,Holt et al. 2012,NA,gyrA S83L,NA,NA,NA
ERR025703,Sonnei,Vietnam,Asia,NA,2003,No,Holt et al. 2012,NA,gyrA S83L,NA,NA,NA
ERR025699,Sonnei,Vietnam,Asia,NA,2002,No,Holt et al. 2012,NA,gyrA S83L,NA,NA,NA
SRR1605255,Sonnei,USA,North America,NA,NA,No,The et al. 2016,NA,gyrA S83L,NA,NA,NA
ERR449083,Sonnei,Belgium,Europe,NA,2008,No,Baker et al 2016,NA,NA,NA,NA,NA
ERR449084,Sonnei,Belgium,Europe,NA,2008,No,Baker et al 2016,NA,NA,NA,NA,NA
ERR572944,Sonnei,UK,Europe,NA,2014,No,Baker et al 2016,NA,NA,NA,NA,NA
ERR572942,Sonnei,UK,Europe,NA,2014,No,Baker et al 2016,NA,NA,NA,NA,NA
ERR563030,Sonnei,UK,Europe,NA,2014,No,Baker et al 2016,NA,NA,NA,NA,NA
ERR563019,Sonnei,UK,Europe,NA,2014,No,Baker et al 2016,NA,NA,NA,NA,NA
ERR316299,Sonnei,Latin America,Latin America,NA,2008,No,Baker et al 2017,NA,NA,NA,NA,NA
ERR316291,Sonnei,Latin America,Latin America,NA,UNK,No,Baker et al 2017,NA,NA,NA,NA,NA
ERR316306,Sonnei,Latin America,Latin America,NA,2009,No,Baker et al 2017,NA,NA,NA,NA,NA
ERR1364263,Sonnei,UK,Europe,NA,2012,No,Baker et al 2018,NA,NA,mphA,NA,NA
SRR4787219,Sonnei,UK,Europe,NA,2016,No,Dallman et al. 2016,Male,NA,mphA/ermB,NA,NA
SRR3531887,Sonnei,UK,Europe,NA,2016,No,Dallman et al. 2016,Male,NA,mphA/ermB,NA,NA
SRR3530422,Sonnei,UK,Europe,NA,2016,No,Dallman et al. 2016,Male,NA,mphA/ermB,NA,NA
SRR4192106,Sonnei,UK,Europe,NA,2016,No,Dallman et al. 2016,Male,NA,mphA/ermB,NA,NA
SRR5006072,Sonnei,UK,Europe,NA,2016,No,Dallman et al. 2016,Male,NA,mphA/ermB,NA,NA
ERR028678,Sonnei,Europe,Europe,NA,2008,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025761,Sonnei,East Africa & Madagascar,Africa,NA,1998,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028693,Sonnei,SouthAmerica,Latin America,NA,2005,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025732,Sonnei,Europe,Europe,NA,1943,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025695,Sonnei,Vietnam,Asia,NA,2011,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025765,Sonnei,East Africa & Madagascar,Africa,NA,2000,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025738,Sonnei,Europe,Europe,NA,1960,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028692,Sonnei,Europe,Europe,NA,2004,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025741,Sonnei,Europe,Europe,NA,1963,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025755,Sonnei,Europe,Europe,NA,1974,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025754,Sonnei,Europe,Europe,NA,1974,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025742,Sonnei,Europe,Europe,NA,1965,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025744,Sonnei,Europe,Europe,NA,1967,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025756,Sonnei,Europe,Europe,NA,1976,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR024606,Sonnei,Europe,Europe,NA,2007,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028672,Sonnei,Caribbean/Central America,Latin America,NA,2006,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR024604,Sonnei,East Africa & Madagascar,Africa,NA,2004,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025762,Sonnei,East Africa & Madagascar,Africa,NA,1998,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025743,Sonnei,Europe,Europe,NA,1966,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025746,Sonnei,Europe,Europe,NA,1973,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025727,Sonnei,Europe,Europe,NA,1944,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025726,Sonnei,Europe,Europe,NA,1945,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028674,Sonnei,Europe,Europe,NA,1992,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025753,Sonnei,Europe,Europe,NA,1974,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025734,Sonnei,Europe,Europe,NA,1958,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025735,Sonnei,Europe,Europe,NA,1967,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028673,Sonnei,Europe,Europe,NA,1991,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028675,Sonnei,Europe,Europe,NA,1991,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025689,Sonnei,Korea,Asia,NA,1981,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025715,Sonnei,Korea,Asia,NA,NA,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025686,Sonnei,Korea,Asia,NA,1980,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025693,Sonnei,Korea,Asia,NA,1987,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025687,Sonnei,Korea,Asia,NA,1982,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR024619,Sonnei,Korea,Asia,NA,1979,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025751,Sonnei,North/West/Central Africa,Africa,NA,1973,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028706,Sonnei,SouthAmerica,Latin America,NA,1997,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028680,Sonnei,SouthAmerica,Latin America,NA,1997,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR024605,Sonnei,Caribbean/Central America,Latin America,NA,2006,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025724,Sonnei,Europe,Europe,NA,1947,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028700,Sonnei,Europe,Europe,NA,2007,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR024607,Sonnei,North/West/Central Africa,Africa,NA,2005,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028691,Sonnei,Caribbean/Central America,Latin America,NA,1998,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025719,Sonnei,Central Asia,Asia,NA,2002,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028681,Sonnei,Central Asia,Asia,NA,2005,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025717,Sonnei,Central Asia,Asia,NA,2002,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025718,Sonnei,Central Asia,Asia,NA,2002,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025710,Sonnei,Central Asia,Asia,NA,2003,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025721,Sonnei,Central Asia,Asia,NA,2003,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028697,Sonnei,East Africa & Madagascar,Africa,NA,2004,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028684,Sonnei,Egypt,Africa,NA,2006,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028699,Sonnei,Egypt,Africa,NA,2006,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025749,Sonnei,Europe,Europe,NA,1973,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025747,Sonnei,Europe,Europe,NA,1983,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028688,Sonnei,Europe,Europe,NA,2000,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028676,Sonnei,Europe,Europe,NA,2004,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025729,Sonnei,Europe,Europe,NA,1945,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025716,Sonnei,Europe,Europe,NA,1979,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025725,Sonnei,Europe,Europe,NA,1979,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028689,Sonnei,Europe,Europe,NA,2002,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028695,Sonnei,Europe,Europe,NA,2001,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028694,Sonnei,Europe,Europe,NA,1990,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR024620,Sonnei,Korea,Asia,NA,2003,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025767,Sonnei,MiddleEast,Asia,NA,2003,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028690,Sonnei,MiddleEast,Asia,NA,2003,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025750,Sonnei,North/West/Central Africa,Africa,NA,1973,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR024611,Sonnei,North/West/Central Africa,Africa,NA,2006,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025758,Sonnei,SouthAmerica,Latin America,NA,1998,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025706,Sonnei,Vietnam,Asia,NA,2003,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025683,Sonnei,Vietnam,Asia,NA,2001,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025712,Sonnei,Vietnam,Asia,NA,2002,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025701,Sonnei,Vietnam,Asia,NA,2003,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025704,Sonnei,Vietnam,Asia,NA,2003,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025705,Sonnei,Vietnam,Asia,NA,2003,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025700,Sonnei,Vietnam,Asia,NA,2003,No,Holt et al. 2012,NA,NA,mphA,NA,NA
ERR028703,Sonnei,Central Asia,Asia,NA,2006,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028702,Sonnei,Europe,Europe,NA,2001,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028686,Sonnei,SouthAmerica,Latin America,NA,2000,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028704,Sonnei,SouthAmerica,Latin America,NA,2000,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028687,Sonnei,SouthAmerica,Latin America,NA,2001,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028685,Sonnei,SouthAmerica,Latin America,NA,2002,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025768,Sonnei,Caribbean/Central America,Latin America,NA,2003,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR028671,Sonnei,Egypt,Africa,NA,2005,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR024609,Sonnei,North/West/Central Africa,Africa,NA,2006,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR024608,Sonnei,SouthAmerica,Latin America,NA,2006,No,Holt et al. 2012,NA,NA,NA,NA,NA
ERR025737,Sonnei,Europe,Europe,NA,1959,No,Holt et al. 2012,NA,NA,NA,NA,NA
S17BD07216,Sonnei,Belgium,Europe,NA,2017,Yes,NRC BEL,NA,NA,NA,NA,NA
ERR708271,Sonnei,Ireland,Europe,Marocco,Unknown ,No,The et al. 2016,NA,NA,NA,NA,NA
ERR591405,Sonnei,Thailand,Asia,NA,1994,No,The et al. 2016,NA,NA,NA,NA,NA
ERR592007,Sonnei,Thailand,Asia,NA,1994,No,The et al. 2016,NA,NA,NA,NA,NA
ERR592013,Sonnei,Thailand,Asia,NA,1994,No,The et al. 2016,NA,NA,NA,NA,NA
ERR592030,Sonnei,Thailand,Asia,NA,1994,No,The et al. 2016,NA,NA,NA,NA,NA
ERR592006,Sonnei,Thailand,Asia,NA,1994,No,The et al. 2016,NA,NA,NA,NA,NA